Time (Sec.),Time (min.),Temperature,Humidity,NH3,환풍기,안개분무,난방기,안개분무,환풍기,안개분무,Vent,Fogging,Heater
1,0,21.9,60.4,35.41,10,0,3,0,40,0,40,0,3
2,0,26.2,60.8,36.62,40,0,2,0,40,0,40,0,2
3,0,26.7,60.9,37.05,50,0,2,0,40,0,50,0,2
4,0,27.2,61.2,38.82,50,0,2,0,40,0,50,0,2
5,0,27.7,61.6,37.83,60,0,1,0,40,0,60,0,1
6,0,28.2,62,38.37,60,0,1,0,40,0,60,0,1
7,0,28.7,62.3,38.15,70,0,1,0,40,0,70,0,1
8,0,29.2,62.8,39.46,70,0,1,0,40,0,70,0,1
9,0,29.7,62.7,40.38,70,0,0,0,70,0,70,0,0
10,0,30.2,62.4,40.53,70,0,0,0,70,0,70,0,0
11,0,30.5,62.5,40.82,80,0,0,0,70,0,80,0,0
12,0,30.3,62.9,42.34,70,0,0,0,70,0,70,0,0
13,0,29.8,63.2,40.95,70,0,0,0,70,0,70,0,0
14,0,29.4,63.4,41.85,70,0,1,0,70,0,70,0,1
15,0,29.3,63.6,44.06,70,0,1,0,70,0,70,0,1
16,0,28.9,63.8,43.92,70,0,1,0,70,0,70,0,1
17,0,28.6,64,44.16,70,0,1,0,70,0,70,0,1
18,0,28.4,64.1,44.47,60,0,1,0,70,0,70,0,1
19,0,28.8,64.1,44.29,70,0,1,0,70,0,70,0,1
20,0,29.1,64.3,45.07,70,0,1,0,70,0,70,0,1
21,0,29.4,64.3,46.04,70,0,1,0,70,0,70,0,1
22,0,29.6,64.5,46.38,70,0,0,0,70,0,70,0,0
23,0,29.8,64.7,46.26,70,0,0,0,70,0,70,0,0
24,0,30,64.8,48.15,70,0,0,0,70,0,70,0,0
25,0,30,64.9,47.82,70,0,0,0,70,0,70,0,0
26,0,30.3,65.2,47.61,70,0,0,0,70,0,70,0,0
27,0,30.7,65.3,47.71,80,0,0,0,70,0,80,0,0
28,0,30.7,65.5,48.1,80,0,0,0,70,0,80,0,0
29,0,30.6,65.5,46.79,80,0,0,0,70,0,80,0,0
30,0,30.5,65.6,48.09,80,0,0,0,70,0,80,0,0
31,0,30.3,65.6,47.84,70,0,0,0,70,0,70,0,0
32,0,30,65.8,48.92,70,0,0,0,70,0,70,0,0
33,0,29.8,66.1,50.94,70,0,0,0,80,0,80,0,0
34,0,29.4,66.2,53.45,70,0,1,0,80,0,80,0,1
35,0,29,66.4,53.13,70,0,1,0,80,0,80,0,1
36,0,28.8,66.6,52.27,70,0,1,0,80,0,80,0,1
37,0,29.1,66.7,51.91,70,0,1,0,80,0,80,0,1
38,0,29.2,66.9,51.83,70,0,1,0,80,0,80,0,1
39,0,29.4,67.2,51.59,70,0,1,0,80,0,80,0,1
40,0,29.7,67.3,50.83,70,0,0,0,80,0,80,0,0
41,0,29.9,67.4,50.56,70,0,0,0,80,0,80,0,0
42,0,30.3,67.5,50.01,70,0,0,0,80,0,80,0,0
43,0,30.8,67.6,49.89,80,0,0,0,70,0,80,0,0
44,0,31.2,67.6,49.45,80,0,0,0,70,0,80,0,0
45,0,31.4,67.8,48.9,80,0,0,0,70,0,80,0,0
46,0,31,68.1,48.53,80,0,0,0,70,0,80,0,0
47,0,30.8,68.3,47.81,80,0,0,0,70,0,80,0,0
48,0,30.4,68.2,47.69,70,0,0,0,70,0,70,0,0
49,0,30.3,68.4,47.46,70,0,0,0,70,0,70,0,0
50,0,30,68.4,46.59,70,0,0,0,70,0,70,0,0
51,0,29.9,68.6,46.48,70,0,0,0,70,0,70,0,0
52,0,29.7,68.6,45.59,70,0,0,0,70,0,70,0,0
53,0,29.4,68.6,45.06,70,0,1,0,70,0,70,0,1
54,0,29,68.7,45.02,70,0,1,0,70,0,70,0,1
55,0,29.5,68.8,44.99,70,0,0,0,70,0,70,0,0
56,0,29.6,68.8,44.33,70,0,0,0,70,0,70,0,0
57,0,29.8,68.8,43.97,70,0,0,0,70,0,70,0,0
58,0,30,69,43.59,70,0,0,0,70,0,70,0,0
59,0,30.2,69.2,43.01,70,0,0,0,70,0,70,0,0
60,1,30.5,69.2,43,80,0,0,0,70,0,80,0,0
61,1,30.5,69.3,42.79,80,0,0,0,70,0,80,0,0
62,1,30.7,69.5,41.8,80,0,0,0,70,0,80,0,0
63,1,30.9,69.6,41.79,80,0,0,0,70,0,80,0,0
64,1,30.7,69.4,41.24,80,0,0,0,70,0,80,0,0
65,1,30.4,69.2,40.93,70,0,0,0,70,0,70,0,0
66,1,30.1,69.4,39.98,70,0,0,0,40,0,70,0,0
67,1,29.8,69.4,39.78,70,0,0,0,40,0,70,0,0
68,1,29.5,69.3,38.92,70,0,0,0,40,0,70,0,0
69,1,29.4,69.6,38.63,70,0,1,0,40,0,70,0,1
70,1,29.2,69.7,37.68,70,0,1,0,40,0,70,0,1
