Time (Sec.),Temperature
1,21.9
2,26.2
3,26.7
4,27.2
5,27.7
6,28.2
7,28.7
8,29.2
9,29.7
10,30.2
11,30.5
12,30.3
13,29.8
14,29.4
15,29.3
16,28.9
17,28.6
18,28.4
19,28.8
20,29.1
21,29.4
22,29.6
23,29.8
24,30.0
25,30.0
26,30.3
27,30.7
28,30.7
29,30.6
30,30.5
31,30.3
32,30.0
33,29.8
34,29.4
35,29.0
36,28.8
37,29.1
38,29.2
39,29.4
40,29.7
41,29.9
42,30.3
43,30.8
44,31.2
45,31.4
46,31.0
47,30.8
48,30.4
49,30.3
50,30.0
51,29.9
52,29.7
53,29.4
54,29.0
55,29.5
56,29.6
57,29.8
58,30.0
59,30.2
60,30.5
61,30.5
62,30.7
63,30.9
64,30.7
65,30.4
66,30.1
67,29.8
68,29.5
69,29.4
70,29.2
71,28.8
72,28.4
73,28.7
74,28.8
75,29.1
76,29.6
77,29.7
78,29.7
79,29.8
80,30.3
81,30.4
82,30.2
83,29.9
84,29.6
85,29.5
86,29.3
87,29.2
88,28.7
89,28.6
90,28.3
91,28.4
92,28.8
93,28.9
94,29.2
95,29.5
96,29.7
97,30.0
98,30.1
99,30.2
100,29.8
101,29.5
102,29.1
103,29.0
104,28.8
105,28.6
106,28.4
107,28.1
108,28.0
109,28.3
110,28.7
111,29.0
112,29.2
113,29.7
114,29.7
115,29.9
116,30.3
117,30.3
118,30.2
119,30.0
120,29.8
121,29.6
122,29.5
123,29.4
124,29.2
125,28.7
126,28.5
127,28.5
128,28.7
129,29.0
130,29.3
131,29.4
132,29.8
133,29.9
134,30.0
135,30.3
136,30.2
137,29.8
138,29.8
139,29.5
140,29.5
141,29.1
142,28.7
143,28.5
144,28.1
145,28.3
146,28.7
147,29.1
148,29.2
149,29.5
150,29.7
151,30.1
152,30.4
153,30.8
154,30.4
155,30.1
156,29.8
157,29.8
158,29.4
159,29.2
160,29.0
161,28.5
162,28.3
163,28.7
164,29.2
165,29.2
166,29.3
167,29.7
168,30.1
169,30.5
170,30.6
171,30.6
172,30.3
173,30.2
174,30.0
175,29.5
176,29.5
177,29.4
178,29.2
179,29.0
180,28.6
181,29.0
182,29.1
183,29.5
184,29.8
185,30.1
186,30.5
187,30.9
188,31.0
189,31.4
190,31.2
191,31.1
192,30.8
193,30.4
194,29.9
195,29.8
196,29.5
197,29.4
198,29.3
199,29.6
200,29.7
201,30.2
202,30.4
203,30.5
204,30.9
205,31.1
206,31.3
207,31.5
208,31.3
209,30.9
210,30.4
211,30.4
212,30.0
213,29.7
214,29.4
215,29.3
216,29.0
217,29.3
218,29.7
219,30.0
220,30.4
221,30.9
222,31.1
223,31.3
224,31.6
225,31.7
226,31.3
227,30.9
228,30.8
229,30.5
230,30.2
231,29.7
232,29.6
233,29.4
234,29.4
235,29.8
236,30.2
237,30.3
238,30.7
239,31.1
240,31.3
241,31.4
242,31.5
243,31.8
244,31.6
245,31.5
246,31.1
247,30.8
248,30.5
249,30.2
250,29.8
251,29.3
252,28.8
253,28.9
254,29.3
255,29.4
256,29.4
257,29.8
258,30.3
259,30.7
260,31.0
261,31.3
262,31.1
263,30.9
264,30.7
265,30.3
266,29.9
267,29.6
268,29.6
269,29.3
270,29.2
271,29.5
272,29.7
273,30.0
274,30.1
275,30.3
276,30.4
277,30.8
278,31.0
279,31.3
280,30.8
281,30.8
282,30.7
283,30.6
284,30.5
285,30.5
286,30.5
287,30.4
288,30.4
289,30.1
